Order_ID,Order_Date,Month,Year,Category_Type,Category,Item_Name,Quantity,Unit_Price_$,Total_Amount_$,Food_Cost_$,Labour_Cost_$,Profit_$,Delivery_Partner,Payment_Mode
O00062,2/5/25,February,2025,Beverage,Hot Drinks,Hot Chocolate,4,4.03,16.12,6.77,2.66,6.69,Swiggy,UPI
O00063,6/8/25,June,2025,Beverage,Hot Drinks,Hot Chocolate,4,7.98,31.92,13.82,3.28,14.82,In-Store,UPI
O00064,3/7/25,March,2025,Main Menu,Pizza,Veggie Paradise,3,14.38,43.14,13.17,6.32,23.65,Zomato,UPI
O00065,10/8/25,October,2025,Main Menu,Club Veg,Spicy Club,2,12.87,25.74,11.04,3.22,11.48,Zomato,Online
O00066,11/7/25,November,2025,Beverage,Hot Drinks,Green Tea,3,5.52,16.56,5.28,2.52,8.76,In-Store,Online
O00067,4/20/25,April,2025,Beverage,Hot Drinks,Cappuccino,1,5.08,5.08,1.87,0.94,2.27,Swiggy,UPI
O00068,12/6/25,December,2025,Beverage,Hot Drinks,Espresso,3,6.06,18.18,7.19,3.14,7.85,Zomato,UPI
O00069,4/12/25,April,2025,Main Menu,Veg Mania,Paneer Delight,2,15.16,30.32,9.28,4.24,16.8,Zomato,Online
O00070,2/7/25,February,2025,Appetizer,Macaroni,Cheese Mac,2,11.95,23.9,7.26,4.69,11.95,In-Store,Online
O00071,5/5/25,May,2025,Main Menu,Veg Mania,Paneer Delight,1,16.96,16.96,5.24,3.25,8.47,In-Store,Card
O00072,12/23/25,December,2025,Beverage,Hot Drinks,Espresso,2,5.2,10.4,4.23,1.73,4.44,Zomato,Cash
O00073,3/10/25,March,2025,Appetizer,French Fries,Cheese Fries,3,13.64,40.92,16.31,5.87,18.74,In-Store,Online
O00074,8/17/25,August,2025,Main Menu,Pizza,Veggie Paradise,2,10.48,20.96,7.41,3.68,9.87,UberEats,Card
O00075,5/22/25,May,2025,Beverage,Hot Drinks,Cappuccino,1,4.58,4.58,1.44,0.6,2.54,UberEats,Online
O00076,5/27/25,May,2025,Main Menu,Club Veg,Spicy Club,4,11.75,47,14.79,7.01,25.2,UberEats,Cash
O00077,3/19/25,March,2025,Main Menu,Pizza,Farmhouse,2,11.73,23.46,9.32,2.46,11.68,Zomato,Cash
O00078,7/28/25,July,2025,Appetizer,French Fries,Loaded Fries,4,13.09,52.36,18.65,8.51,25.2,In-Store,Cash
O00079,8/4/25,August,2025,Appetizer,French Fries,Salted Fries,1,12.85,12.85,5.17,2.08,5.6,In-Store,Online
O00080,6/30/25,June,2025,Appetizer,Macaroni,Spicy Mac,4,13.55,54.2,21.02,10.52,22.66,Zomato,Online
O00081,5/20/25,May,2025,Appetizer,Macaroni,Classic Mac,4,9.11,36.44,11.63,6.6,18.21,In-Store,UPI
O00082,12/14/25,December,2025,Appetizer,French Fries,Peri Peri Fries,1,11.01,11.01,4.89,2.1,4.02,In-Store,Card
O00083,10/1/25,October,2025,Main Menu,Pizza,Margherita,3,10.69,32.07,11.44,3.33,17.3,Swiggy,Online
O00084,8/25/25,August,2025,Main Menu,Veg Mania,Corn Supreme,2,13.37,26.74,9.3,4.93,12.51,In-Store,UPI
O00085,8/21/25,August,2025,Appetizer,Macaroni,Spicy Mac,1,12.52,12.52,4.69,2.12,5.71,UberEats,Online
O00086,2/11/25,February,2025,Appetizer,Burger,Aloo Tikki Burger,4,13.49,53.96,22.14,9.73,22.09,UberEats,Card
O00087,2/5/25,February,2025,Beverage,Juice,Orange Juice,1,4.89,4.89,1.88,0.77,2.24,Zomato,Card
O00088,11/15/25,November,2025,Main Menu,Sandwich,Cheese Chilli,1,11.28,11.28,4.7,1.51,5.07,In-Store,Cash
O00089,4/22/25,April,2025,Appetizer,French Fries,Cheese Fries,1,12.87,12.87,5.17,2.24,5.46,UberEats,Card
O00090,11/7/25,November,2025,Beverage,Juice,Mango Juice,1,5.89,5.89,2.21,1.08,2.6,UberEats,Cash
O00091,1/14/25,January,2025,Appetizer,French Fries,Loaded Fries,1,13.16,13.16,4.05,2.58,6.53,In-Store,Card
O00092,10/31/25,October,2025,Beverage,Juice,Orange Juice,4,5.77,23.08,10.21,4.5,8.37,UberEats,Cash
O00093,1/22/25,January,2025,Appetizer,French Fries,Loaded Fries,1,11.05,11.05,3.47,1.77,5.81,UberEats,Cash
O00094,11/28/25,November,2025,Appetizer,Burger,Spicy Bean Burger,1,7.7,7.7,3.22,1.38,3.1,In-Store,Cash
O00095,7/5/25,July,2025,Beverage,Hot Drinks,Cappuccino,3,6.47,19.41,8.72,2.05,8.64,In-Store,Card
O00096,9/25/25,September,2025,Beverage,Hot Drinks,Green Tea,3,6.73,20.19,6.41,2.31,11.47,In-Store,Online
O00097,10/31/25,October,2025,Appetizer,Macaroni,Cheese Mac,1,10.95,10.95,4.66,1.56,4.73,Swiggy,UPI
O00098,5/5/25,May,2025,Appetizer,French Fries,Loaded Fries,3,9.17,27.51,11.17,2.97,13.37,UberEats,Cash
O00099,6/16/25,June,2025,Main Menu,Pizza,Farmhouse,4,19.87,79.48,34.13,14.95,30.4,UberEats,UPI
O00100,5/24/25,May,2025,Beverage,Hot Drinks,Espresso,1,8.54,8.54,3.53,1.18,3.83,Zomato,Cash
O00101,7/28/25,July,2025,Appetizer,French Fries,Peri Peri Fries,2,12.22,24.44,9.92,3.05,11.47,In-Store,Online
O00102,1/9/25,January,2025,Main Menu,Club Veg,Veggie Club Special,1,14.34,14.34,4.33,2.11,7.9,In-Store,Card
O00103,12/6/25,December,2025,Beverage,Hot Drinks,Green Tea,1,4.59,4.59,1.94,0.8,1.85,UberEats,Online
O00104,10/9/25,October,2025,Appetizer,Macaroni,Spicy Mac,1,7.9,7.9,2.81,1.02,4.07,UberEats,UPI
O00105,4/29/25,April,2025,Main Menu,Sandwich,Paneer Tikka,2,12.24,24.48,10.29,4.84,9.35,Swiggy,Card
O00106,4/21/25,April,2025,Beverage,Hot Drinks,Hot Chocolate,4,5.61,22.44,8.51,4.47,9.46,UberEats,Cash
O00107,6/1/25,June,2025,Main Menu,Club Veg,Veggie Club Special,4,15.54,62.16,19.35,7.25,35.56,UberEats,Cash
O00108,10/1/25,October,2025,Main Menu,Club Veg,Triple Cheese Club,1,12.94,12.94,5.1,2.05,5.79,Swiggy,UPI
O00109,3/6/25,March,2025,Beverage,Hot Drinks,Espresso,4,4.23,16.92,7.51,1.79,7.62,Swiggy,UPI
O00110,9/3/25,September,2025,Appetizer,Macaroni,Cheese Mac,1,6.85,6.85,2.34,0.81,3.7,Swiggy,UPI
O00111,2/28/25,February,2025,Main Menu,Pizza,Veggie Paradise,2,13.53,27.06,9.2,3.68,14.18,Swiggy,Cash
O00112,3/18/25,March,2025,Beverage,Hot Drinks,Espresso,3,6.27,18.81,7.16,2.46,9.19,Zomato,Cash
O00113,8/2/25,August,2025,Beverage,Juice,Mixed Fruit Juice,1,7.42,7.42,2.37,0.8,4.25,In-Store,Online
O00114,10/29/25,October,2025,Appetizer,Macaroni,Classic Mac,1,9.33,9.33,3.66,1.32,4.35,Swiggy,Card
O00115,4/19/25,April,2025,Appetizer,French Fries,Salted Fries,1,12.93,12.93,4.2,1.82,6.91,Zomato,Card
O00116,10/10/25,October,2025,Main Menu,Sandwich,Grilled Veg,3,14.8,44.4,14.32,7.08,23,In-Store,Online
O00117,11/1/25,November,2025,Appetizer,Macaroni,Classic Mac,3,13.76,41.28,15.91,4.39,20.98,Zomato,UPI
O00118,5/25/25,May,2025,Beverage,Hot Drinks,Espresso,1,4.67,4.67,1.44,0.87,2.36,Zomato,UPI
O00119,10/29/25,October,2025,Beverage,Juice,Mixed Fruit Juice,2,9,18,7.87,2.85,7.28,Swiggy,Card
O00120,3/18/25,March,2025,Appetizer,Burger,Aloo Tikki Burger,3,12.06,36.18,12.2,5.25,18.73,Swiggy,Card
O00121,11/1/25,November,2025,Beverage,Hot Drinks,Green Tea,1,8.77,8.77,2.9,1.65,4.22,Swiggy,Online
O00122,6/5/25,June,2025,Beverage,Hot Drinks,Hot Chocolate,3,4.23,12.69,4.02,2.12,6.55,In-Store,Online
O00123,11/3/25,November,2025,Main Menu,Pizza,Peppy Paneer,3,17.72,53.16,18.4,9.66,25.1,UberEats,Cash
O00124,4/28/25,April,2025,Beverage,Juice,Watermelon Juice,3,4.44,13.32,4.8,1.51,7.01,Swiggy,Card
O00125,9/23/25,September,2025,Beverage,Hot Drinks,Hot Chocolate,1,7.78,7.78,3.08,1.4,3.3,Zomato,Online
O00126,9/9/25,September,2025,Main Menu,Pizza,Peppy Paneer,2,16.17,32.34,11.4,5.14,15.8,In-Store,UPI
O00127,12/10/25,December,2025,Main Menu,Sandwich,Paneer Tikka,3,14.37,43.11,17.63,6.67,18.81,In-Store,Online
O00128,12/6/25,December,2025,Appetizer,French Fries,Salted Fries,2,13.28,26.56,10.45,4.95,11.16,In-Store,Cash
O00129,5/10/25,May,2025,Appetizer,Burger,Spicy Bean Burger,4,7.18,28.72,12.24,5.08,11.4,Swiggy,Online
O00130,1/28/25,January,2025,Main Menu,Club Veg,Corn & Mayo Club,2,10.46,20.92,7.82,2.78,10.32,In-Store,Cash
O00131,5/17/25,May,2025,Beverage,Juice,Watermelon Juice,3,5.2,15.6,5.94,2.28,7.38,In-Store,Online
O00132,1/15/25,January,2025,Beverage,Juice,Mango Juice,4,6,24,9.51,2.84,11.65,UberEats,Cash
O00133,7/28/25,July,2025,Main Menu,Sandwich,Grilled Veg,3,18.97,56.91,21.47,11.23,24.21,In-Store,Cash
O00134,3/20/25,March,2025,Appetizer,French Fries,Cheese Fries,1,7.79,7.79,2.53,1,4.26,UberEats,Online
O00135,8/30/25,August,2025,Main Menu,Pizza,Farmhouse,1,10.89,10.89,4.14,1.48,5.27,In-Store,Card
O00136,9/18/25,September,2025,Beverage,Juice,Orange Juice,2,4.64,9.28,3.75,0.96,4.57,UberEats,Online
O00137,9/17/25,September,2025,Appetizer,Burger,Paneer Burger,3,11.02,33.06,12.46,3.82,16.78,UberEats,Online
O00138,8/17/25,August,2025,Beverage,Hot Drinks,Hot Chocolate,4,4.01,16.04,6.75,2.8,6.49,UberEats,Online
O00139,6/14/25,June,2025,Main Menu,Sandwich,Classic Veg,3,12.09,36.27,15.91,4.48,15.88,Zomato,Online
O00140,6/12/25,June,2025,Beverage,Hot Drinks,Green Tea,2,6.66,13.32,5.49,1.38,6.45,In-Store,Card
O00141,1/19/25,January,2025,Main Menu,Club Veg,Triple Cheese Club,3,17.13,51.39,21.93,8.99,20.47,In-Store,Cash
O00142,8/22/25,August,2025,Main Menu,Sandwich,Classic Veg,2,18.67,37.34,14.19,4.64,18.51,Zomato,Cash
O00143,5/16/25,May,2025,Appetizer,French Fries,Loaded Fries,2,9.02,18.04,6.94,3.32,7.78,Swiggy,UPI
O00144,10/1/25,October,2025,Appetizer,Macaroni,Spicy Mac,1,10.28,10.28,4.46,1.64,4.18,Swiggy,Cash
O00145,11/20/25,November,2025,Beverage,Hot Drinks,Cappuccino,1,7.95,7.95,2.96,1.26,3.73,Swiggy,Online
O00146,11/21/25,November,2025,Beverage,Juice,Mixed Fruit Juice,4,6.79,27.16,9.91,3.06,14.19,Zomato,UPI
O00147,1/24/25,January,2025,Appetizer,Burger,Paneer Burger,2,8.9,17.8,6.96,2.21,8.63,UberEats,UPI
O00148,3/16/25,March,2025,Main Menu,Pizza,Farmhouse,1,13.3,13.3,4.46,1.47,7.37,Zomato,Card
O00149,11/9/25,November,2025,Appetizer,French Fries,Peri Peri Fries,4,7.97,31.88,13.63,3.47,14.78,In-Store,Card
O00150,8/25/25,August,2025,Beverage,Hot Drinks,Green Tea,1,4.28,4.28,1.34,0.65,2.29,UberEats,Cash
O00151,5/28/25,May,2025,Beverage,Juice,Orange Juice,3,8.91,26.73,11.61,4.21,10.91,In-Store,UPI
O00152,6/3/25,June,2025,Beverage,Hot Drinks,Hot Chocolate,2,4.03,8.06,2.73,0.94,4.39,In-Store,UPI
O00153,7/16/25,July,2025,Appetizer,Burger,Veg Cheese Burger,3,13.44,40.32,15.33,5.95,19.04,In-Store,UPI
O00154,6/1/25,June,2025,Beverage,Hot Drinks,Espresso,2,5.03,10.06,3.51,1.43,5.12,In-Store,UPI
O00155,10/17/25,October,2025,Beverage,Juice,Mixed Fruit Juice,3,5.21,15.63,6.35,2.76,6.52,UberEats,Card
O00156,6/30/25,June,2025,Main Menu,Sandwich,Paneer Tikka,3,15.06,45.18,16.81,6.92,21.45,Zomato,Cash
O00157,11/27/25,November,2025,Main Menu,Club Veg,Corn & Mayo Club,2,13.37,26.74,10.22,4.14,12.38,Swiggy,UPI
O00158,3/9/25,March,2025,Main Menu,Club Veg,Spicy Club,4,16.85,67.4,22.79,11.33,33.28,In-Store,Card
O00159,3/9/25,March,2025,Beverage,Hot Drinks,Hot Chocolate,4,6.98,27.92,10.91,5.01,12,Zomato,UPI
O00160,6/1/25,June,2025,Beverage,Hot Drinks,Espresso,4,8.25,33,14.68,3.71,14.61,In-Store,Cash
O00161,4/26/25,April,2025,Beverage,Hot Drinks,Hot Chocolate,4,8.69,34.76,12.41,6.7,15.65,Swiggy,Online
O00162,5/16/25,May,2025,Beverage,Juice,Mixed Fruit Juice,1,4.24,4.24,1.36,0.76,2.12,UberEats,UPI
O00163,7/15/25,July,2025,Beverage,Hot Drinks,Espresso,1,4.82,4.82,1.58,0.6,2.64,Zomato,Online
O00164,11/14/25,November,2025,Beverage,Hot Drinks,Cappuccino,1,8.54,8.54,3.69,1.19,3.66,Swiggy,Online
O00165,6/4/25,June,2025,Beverage,Hot Drinks,Espresso,2,6.2,12.4,5.39,2.01,5,Zomato,Cash
O00166,6/5/25,June,2025,Appetizer,Burger,Aloo Tikki Burger,1,9.51,9.51,3.18,1.81,4.52,Zomato,Card
O00167,8/21/25,August,2025,Appetizer,French Fries,Loaded Fries,4,10.35,41.4,13.84,6.39,21.17,Zomato,Online
O00168,2/20/25,February,2025,Appetizer,French Fries,Loaded Fries,3,8.66,25.98,9.1,2.96,13.92,UberEats,Cash
O00169,7/9/25,July,2025,Main Menu,Pizza,Veggie Paradise,4,16.2,64.8,26.65,10.19,27.96,Zomato,UPI
O00170,12/18/25,December,2025,Appetizer,French Fries,Cheese Fries,1,12.02,12.02,4.05,2.1,5.87,Swiggy,Online
O00171,4/8/25,April,2025,Main Menu,Pizza,Margherita,2,15.7,31.4,11.75,5.51,14.14,Zomato,Cash
O00172,6/20/25,June,2025,Main Menu,Sandwich,Cheese Chilli,3,15.36,46.08,19.67,5.2,21.21,Swiggy,Card
O00173,4/21/25,April,2025,Main Menu,Club Veg,Veggie Club Special,1,17.97,17.97,6.7,2.53,8.74,Swiggy,UPI
O00174,3/8/25,March,2025,Beverage,Hot Drinks,Cappuccino,3,4.06,12.18,4.92,1.88,5.38,Swiggy,Cash
O00175,1/8/25,January,2025,Appetizer,Burger,Paneer Burger,3,8.77,26.31,11.68,3.53,11.1,Swiggy,Card
O00176,1/27/25,January,2025,Main Menu,Pizza,Margherita,2,14.24,28.48,12.59,3.28,12.61,Swiggy,Online
O00177,7/5/25,July,2025,Beverage,Juice,Mixed Fruit Juice,1,6.53,6.53,2.21,1.13,3.19,Zomato,Cash
O00178,12/4/25,December,2025,Beverage,Hot Drinks,Green Tea,4,4.51,18.04,7.3,3.47,7.27,Swiggy,Cash
O00179,7/25/25,July,2025,Appetizer,French Fries,Salted Fries,4,7.22,28.88,10.29,3.09,15.5,In-Store,Online
O00180,2/11/25,February,2025,Appetizer,French Fries,Peri Peri Fries,1,6.83,6.83,3,0.99,2.84,Swiggy,Card
O00181,11/16/25,November,2025,Beverage,Hot Drinks,Green Tea,2,8.92,17.84,5.85,3.28,8.71,UberEats,Online
O00182,11/6/25,November,2025,Appetizer,Burger,Aloo Tikki Burger,3,8.49,25.47,9.9,3.56,12.01,Zomato,Online
O00183,4/27/25,April,2025,Appetizer,Macaroni,Spicy Mac,4,8.68,34.72,14.52,5.57,14.63,In-Store,Online
O00184,2/18/25,February,2025,Appetizer,Macaroni,Veg Loaded Mac,2,9.32,18.64,8.16,2.51,7.97,UberEats,UPI
O00185,12/18/25,December,2025,Appetizer,Burger,Aloo Tikki Burger,1,11.9,11.9,4.62,1.23,6.05,Swiggy,Cash
O00186,2/19/25,February,2025,Beverage,Hot Drinks,Cappuccino,1,5.24,5.24,1.96,0.74,2.54,Swiggy,UPI
O00187,3/4/25,March,2025,Appetizer,Macaroni,Spicy Mac,3,8.9,26.7,9.12,3.26,14.32,Swiggy,UPI
O00188,6/9/25,June,2025,Appetizer,Burger,Veg Cheese Burger,1,10.12,10.12,4.49,1.16,4.47,Zomato,Online
O00189,2/25/25,February,2025,Appetizer,French Fries,Cheese Fries,1,6.68,6.68,2.19,0.87,3.62,Swiggy,UPI
O00190,4/26/25,April,2025,Appetizer,French Fries,Salted Fries,3,9.18,27.54,9.13,5.23,13.18,UberEats,Cash
O00191,5/20/25,May,2025,Beverage,Hot Drinks,Hot Chocolate,1,4.95,4.95,1.77,0.91,2.27,UberEats,Cash
O00192,3/15/25,March,2025,Beverage,Hot Drinks,Espresso,3,5.47,16.41,6.04,2.5,7.87,Zomato,Cash
O00193,9/29/25,September,2025,Main Menu,Pizza,Veggie Paradise,2,14.01,28.02,11.62,3.09,13.31,In-Store,UPI
O00194,7/9/25,July,2025,Appetizer,French Fries,Cheese Fries,3,6.6,19.8,7.05,2.52,10.23,Swiggy,Cash
O00195,3/22/25,March,2025,Beverage,Juice,Orange Juice,3,6.04,18.12,8.1,3.33,6.69,UberEats,Online
O00196,8/6/25,August,2025,Appetizer,French Fries,Loaded Fries,1,9.26,9.26,3.09,1.14,5.03,In-Store,UPI
O00197,9/20/25,September,2025,Main Menu,Club Veg,Corn & Mayo Club,2,10.2,20.4,7.16,3.2,10.04,Swiggy,UPI
O00198,12/14/25,December,2025,Beverage,Hot Drinks,Hot Chocolate,4,6.78,27.12,8.54,3.37,15.21,Swiggy,Card
O00199,11/3/25,November,2025,Main Menu,Veg Mania,Mushroom Magic,3,18.56,55.68,24.74,10.83,20.11,UberEats,Card
O00200,5/11/25,May,2025,Appetizer,Macaroni,Classic Mac,3,9.25,27.75,12.06,2.81,12.88,Swiggy,Online
O00201,8/9/25,August,2025,Main Menu,Sandwich,Classic Veg,3,12.08,36.24,11.54,6.8,17.9,Zomato,UPI
O00202,7/23/25,July,2025,Beverage,Juice,Mixed Fruit Juice,1,7.52,7.52,3.18,1.01,3.33,Swiggy,Online
O00203,6/10/25,June,2025,Beverage,Hot Drinks,Green Tea,3,5.9,17.7,5.4,3.24,9.06,In-Store,UPI
O00204,7/27/25,July,2025,Main Menu,Club Veg,Veggie Club Special,1,17.74,17.74,6.48,2.3,8.96,In-Store,UPI
O00205,8/12/25,August,2025,Main Menu,Sandwich,Classic Veg,4,17.64,70.56,22.38,11.05,37.13,In-Store,Cash
O00206,6/8/25,June,2025,Beverage,Hot Drinks,Cappuccino,4,6.36,25.44,9.25,2.6,13.59,UberEats,Card
O00207,9/19/25,September,2025,Beverage,Juice,Mango Juice,1,6.71,6.71,2.42,0.82,3.47,UberEats,UPI
O00208,11/27/25,November,2025,Main Menu,Sandwich,Grilled Veg,2,14.22,28.44,10.77,3.33,14.34,Zomato,UPI
O00209,3/30/25,March,2025,Beverage,Juice,Orange Juice,2,4.09,8.18,3.1,1.48,3.6,Zomato,Online
O00210,10/16/25,October,2025,Beverage,Hot Drinks,Hot Chocolate,1,4.34,4.34,1.73,0.79,1.82,UberEats,Card
O00211,2/4/25,February,2025,Appetizer,Macaroni,Veg Loaded Mac,1,6.09,6.09,2.07,0.77,3.25,UberEats,Cash
