Date,Year,Month,Month Name,Month Short,Quarter,Day,Day of Week,Day Name,Week of Year,Is Weekend
2024-06-30,2024,6,June,Jun,Q2,30,6,Sunday,26,True
2024-07-01,2024,7,July,Jul,Q3,1,0,Monday,27,False
2024-07-02,2024,7,July,Jul,Q3,2,1,Tuesday,27,False
2024-07-03,2024,7,July,Jul,Q3,3,2,Wednesday,27,False
2024-07-04,2024,7,July,Jul,Q3,4,3,Thursday,27,False
2024-07-05,2024,7,July,Jul,Q3,5,4,Friday,27,False
2024-07-06,2024,7,July,Jul,Q3,6,5,Saturday,27,True
2024-07-07,2024,7,July,Jul,Q3,7,6,Sunday,27,True
2024-07-08,2024,7,July,Jul,Q3,8,0,Monday,28,False
2024-07-09,2024,7,July,Jul,Q3,9,1,Tuesday,28,False
2024-07-10,2024,7,July,Jul,Q3,10,2,Wednesday,28,False
2024-07-11,2024,7,July,Jul,Q3,11,3,Thursday,28,False
2024-07-12,2024,7,July,Jul,Q3,12,4,Friday,28,False
2024-07-13,2024,7,July,Jul,Q3,13,5,Saturday,28,True
2024-07-14,2024,7,July,Jul,Q3,14,6,Sunday,28,True
2024-07-15,2024,7,July,Jul,Q3,15,0,Monday,29,False
2024-07-16,2024,7,July,Jul,Q3,16,1,Tuesday,29,False
2024-07-17,2024,7,July,Jul,Q3,17,2,Wednesday,29,False
2024-07-18,2024,7,July,Jul,Q3,18,3,Thursday,29,False
2024-07-19,2024,7,July,Jul,Q3,19,4,Friday,29,False
2024-07-20,2024,7,July,Jul,Q3,20,5,Saturday,29,True
2024-07-21,2024,7,July,Jul,Q3,21,6,Sunday,29,True
2024-07-22,2024,7,July,Jul,Q3,22,0,Monday,30,False
2024-07-23,2024,7,July,Jul,Q3,23,1,Tuesday,30,False
2024-07-24,2024,7,July,Jul,Q3,24,2,Wednesday,30,False
2024-07-25,2024,7,July,Jul,Q3,25,3,Thursday,30,False
2024-07-26,2024,7,July,Jul,Q3,26,4,Friday,30,False
2024-07-27,2024,7,July,Jul,Q3,27,5,Saturday,30,True
2024-07-28,2024,7,July,Jul,Q3,28,6,Sunday,30,True
2024-07-29,2024,7,July,Jul,Q3,29,0,Monday,31,False
2024-07-30,2024,7,July,Jul,Q3,30,1,Tuesday,31,False
2024-07-31,2024,7,July,Jul,Q3,31,2,Wednesday,31,False
2024-08-01,2024,8,August,Aug,Q3,1,3,Thursday,31,False
2024-08-02,2024,8,August,Aug,Q3,2,4,Friday,31,False
2024-08-03,2024,8,August,Aug,Q3,3,5,Saturday,31,True
2024-08-04,2024,8,August,Aug,Q3,4,6,Sunday,31,True
2024-08-05,2024,8,August,Aug,Q3,5,0,Monday,32,False
2024-08-06,2024,8,August,Aug,Q3,6,1,Tuesday,32,False
2024-08-07,2024,8,August,Aug,Q3,7,2,Wednesday,32,False
2024-08-08,2024,8,August,Aug,Q3,8,3,Thursday,32,False
2024-08-09,2024,8,August,Aug,Q3,9,4,Friday,32,False
2024-08-10,2024,8,August,Aug,Q3,10,5,Saturday,32,True
2024-08-11,2024,8,August,Aug,Q3,11,6,Sunday,32,True
2024-08-12,2024,8,August,Aug,Q3,12,0,Monday,33,False
2024-08-13,2024,8,August,Aug,Q3,13,1,Tuesday,33,False
2024-08-14,2024,8,August,Aug,Q3,14,2,Wednesday,33,False
2024-08-15,2024,8,August,Aug,Q3,15,3,Thursday,33,False
2024-08-16,2024,8,August,Aug,Q3,16,4,Friday,33,False
2024-08-17,2024,8,August,Aug,Q3,17,5,Saturday,33,True
2024-08-18,2024,8,August,Aug,Q3,18,6,Sunday,33,True
2024-08-19,2024,8,August,Aug,Q3,19,0,Monday,34,False
2024-08-20,2024,8,August,Aug,Q3,20,1,Tuesday,34,False
2024-08-21,2024,8,August,Aug,Q3,21,2,Wednesday,34,False
2024-08-22,2024,8,August,Aug,Q3,22,3,Thursday,34,False
2024-08-23,2024,8,August,Aug,Q3,23,4,Friday,34,False
2024-08-24,2024,8,August,Aug,Q3,24,5,Saturday,34,True
2024-08-25,2024,8,August,Aug,Q3,25,6,Sunday,34,True
2024-08-26,2024,8,August,Aug,Q3,26,0,Monday,35,False
2024-08-27,2024,8,August,Aug,Q3,27,1,Tuesday,35,False
2024-08-28,2024,8,August,Aug,Q3,28,2,Wednesday,35,False
2024-08-29,2024,8,August,Aug,Q3,29,3,Thursday,35,False
2024-08-30,2024,8,August,Aug,Q3,30,4,Friday,35,False
2024-08-31,2024,8,August,Aug,Q3,31,5,Saturday,35,True
2024-09-01,2024,9,September,Sep,Q3,1,6,Sunday,35,True
2024-09-02,2024,9,September,Sep,Q3,2,0,Monday,36,False
2024-09-03,2024,9,September,Sep,Q3,3,1,Tuesday,36,False
2024-09-04,2024,9,September,Sep,Q3,4,2,Wednesday,36,False
2024-09-05,2024,9,September,Sep,Q3,5,3,Thursday,36,False
2024-09-06,2024,9,September,Sep,Q3,6,4,Friday,36,False
2024-09-07,2024,9,September,Sep,Q3,7,5,Saturday,36,True
2024-09-08,2024,9,September,Sep,Q3,8,6,Sunday,36,True
2024-09-09,2024,9,September,Sep,Q3,9,0,Monday,37,False
2024-09-10,2024,9,September,Sep,Q3,10,1,Tuesday,37,False
2024-09-11,2024,9,September,Sep,Q3,11,2,Wednesday,37,False
2024-09-12,2024,9,September,Sep,Q3,12,3,Thursday,37,False
2024-09-13,2024,9,September,Sep,Q3,13,4,Friday,37,False
2024-09-14,2024,9,September,Sep,Q3,14,5,Saturday,37,True
2024-09-15,2024,9,September,Sep,Q3,15,6,Sunday,37,True
2024-09-16,2024,9,September,Sep,Q3,16,0,Monday,38,False
2024-09-17,2024,9,September,Sep,Q3,17,1,Tuesday,38,False
2024-09-18,2024,9,September,Sep,Q3,18,2,Wednesday,38,False
2024-09-19,2024,9,September,Sep,Q3,19,3,Thursday,38,False
2024-09-20,2024,9,September,Sep,Q3,20,4,Friday,38,False
2024-09-21,2024,9,September,Sep,Q3,21,5,Saturday,38,True
2024-09-22,2024,9,September,Sep,Q3,22,6,Sunday,38,True
2024-09-23,2024,9,September,Sep,Q3,23,0,Monday,39,False
2024-09-24,2024,9,September,Sep,Q3,24,1,Tuesday,39,False
2024-09-25,2024,9,September,Sep,Q3,25,2,Wednesday,39,False
2024-09-26,2024,9,September,Sep,Q3,26,3,Thursday,39,False
2024-09-27,2024,9,September,Sep,Q3,27,4,Friday,39,False
2024-09-28,2024,9,September,Sep,Q3,28,5,Saturday,39,True
2024-09-29,2024,9,September,Sep,Q3,29,6,Sunday,39,True
2024-09-30,2024,9,September,Sep,Q3,30,0,Monday,40,False
2024-10-01,2024,10,October,Oct,Q4,1,1,Tuesday,40,False
2024-10-02,2024,10,October,Oct,Q4,2,2,Wednesday,40,False
2024-10-03,2024,10,October,Oct,Q4,3,3,Thursday,40,False
2024-10-04,2024,10,October,Oct,Q4,4,4,Friday,40,False
2024-10-05,2024,10,October,Oct,Q4,5,5,Saturday,40,True
2024-10-06,2024,10,October,Oct,Q4,6,6,Sunday,40,True
2024-10-07,2024,10,October,Oct,Q4,7,0,Monday,41,False
2024-10-08,2024,10,October,Oct,Q4,8,1,Tuesday,41,False
2024-10-09,2024,10,October,Oct,Q4,9,2,Wednesday,41,False
2024-10-10,2024,10,October,Oct,Q4,10,3,Thursday,41,False
2024-10-11,2024,10,October,Oct,Q4,11,4,Friday,41,False
2024-10-12,2024,10,October,Oct,Q4,12,5,Saturday,41,True
2024-10-13,2024,10,October,Oct,Q4,13,6,Sunday,41,True
2024-10-14,2024,10,October,Oct,Q4,14,0,Monday,42,False
2024-10-15,2024,10,October,Oct,Q4,15,1,Tuesday,42,False
2024-10-16,2024,10,October,Oct,Q4,16,2,Wednesday,42,False
2024-10-17,2024,10,October,Oct,Q4,17,3,Thursday,42,False
2024-10-18,2024,10,October,Oct,Q4,18,4,Friday,42,False
2024-10-19,2024,10,October,Oct,Q4,19,5,Saturday,42,True
2024-10-20,2024,10,October,Oct,Q4,20,6,Sunday,42,True
2024-10-21,2024,10,October,Oct,Q4,21,0,Monday,43,False
2024-10-22,2024,10,October,Oct,Q4,22,1,Tuesday,43,False
2024-10-23,2024,10,October,Oct,Q4,23,2,Wednesday,43,False
2024-10-24,2024,10,October,Oct,Q4,24,3,Thursday,43,False
2024-10-25,2024,10,October,Oct,Q4,25,4,Friday,43,False
2024-10-26,2024,10,October,Oct,Q4,26,5,Saturday,43,True
2024-10-27,2024,10,October,Oct,Q4,27,6,Sunday,43,True
2024-10-28,2024,10,October,Oct,Q4,28,0,Monday,44,False
2024-10-29,2024,10,October,Oct,Q4,29,1,Tuesday,44,False
2024-10-30,2024,10,October,Oct,Q4,30,2,Wednesday,44,False
2024-10-31,2024,10,October,Oct,Q4,31,3,Thursday,44,False
2024-11-01,2024,11,November,Nov,Q4,1,4,Friday,44,False
2024-11-02,2024,11,November,Nov,Q4,2,5,Saturday,44,True
2024-11-03,2024,11,November,Nov,Q4,3,6,Sunday,44,True
2024-11-04,2024,11,November,Nov,Q4,4,0,Monday,45,False
2024-11-05,2024,11,November,Nov,Q4,5,1,Tuesday,45,False
2024-11-06,2024,11,November,Nov,Q4,6,2,Wednesday,45,False
2024-11-07,2024,11,November,Nov,Q4,7,3,Thursday,45,False
2024-11-08,2024,11,November,Nov,Q4,8,4,Friday,45,False
2024-11-09,2024,11,November,Nov,Q4,9,5,Saturday,45,True
2024-11-10,2024,11,November,Nov,Q4,10,6,Sunday,45,True
2024-11-11,2024,11,November,Nov,Q4,11,0,Monday,46,False
2024-11-12,2024,11,November,Nov,Q4,12,1,Tuesday,46,False
2024-11-13,2024,11,November,Nov,Q4,13,2,Wednesday,46,False
2024-11-14,2024,11,November,Nov,Q4,14,3,Thursday,46,False
2024-11-15,2024,11,November,Nov,Q4,15,4,Friday,46,False
2024-11-16,2024,11,November,Nov,Q4,16,5,Saturday,46,True
2024-11-17,2024,11,November,Nov,Q4,17,6,Sunday,46,True
2024-11-18,2024,11,November,Nov,Q4,18,0,Monday,47,False
2024-11-19,2024,11,November,Nov,Q4,19,1,Tuesday,47,False
2024-11-20,2024,11,November,Nov,Q4,20,2,Wednesday,47,False
2024-11-21,2024,11,November,Nov,Q4,21,3,Thursday,47,False
2024-11-22,2024,11,November,Nov,Q4,22,4,Friday,47,False
2024-11-23,2024,11,November,Nov,Q4,23,5,Saturday,47,True
2024-11-24,2024,11,November,Nov,Q4,24,6,Sunday,47,True
2024-11-25,2024,11,November,Nov,Q4,25,0,Monday,48,False
2024-11-26,2024,11,November,Nov,Q4,26,1,Tuesday,48,False
2024-11-27,2024,11,November,Nov,Q4,27,2,Wednesday,48,False
2024-11-28,2024,11,November,Nov,Q4,28,3,Thursday,48,False
2024-11-29,2024,11,November,Nov,Q4,29,4,Friday,48,False
2024-11-30,2024,11,November,Nov,Q4,30,5,Saturday,48,True
2024-12-01,2024,12,December,Dec,Q4,1,6,Sunday,48,True
2024-12-02,2024,12,December,Dec,Q4,2,0,Monday,49,False
2024-12-03,2024,12,December,Dec,Q4,3,1,Tuesday,49,False
2024-12-04,2024,12,December,Dec,Q4,4,2,Wednesday,49,False
2024-12-05,2024,12,December,Dec,Q4,5,3,Thursday,49,False
2024-12-06,2024,12,December,Dec,Q4,6,4,Friday,49,False
2024-12-07,2024,12,December,Dec,Q4,7,5,Saturday,49,True
2024-12-08,2024,12,December,Dec,Q4,8,6,Sunday,49,True
2024-12-09,2024,12,December,Dec,Q4,9,0,Monday,50,False
2024-12-10,2024,12,December,Dec,Q4,10,1,Tuesday,50,False
2024-12-11,2024,12,December,Dec,Q4,11,2,Wednesday,50,False
2024-12-12,2024,12,December,Dec,Q4,12,3,Thursday,50,False
2024-12-13,2024,12,December,Dec,Q4,13,4,Friday,50,False
2024-12-14,2024,12,December,Dec,Q4,14,5,Saturday,50,True
2024-12-15,2024,12,December,Dec,Q4,15,6,Sunday,50,True
2024-12-16,2024,12,December,Dec,Q4,16,0,Monday,51,False
2024-12-17,2024,12,December,Dec,Q4,17,1,Tuesday,51,False
2024-12-18,2024,12,December,Dec,Q4,18,2,Wednesday,51,False
2024-12-19,2024,12,December,Dec,Q4,19,3,Thursday,51,False
2024-12-20,2024,12,December,Dec,Q4,20,4,Friday,51,False
2024-12-21,2024,12,December,Dec,Q4,21,5,Saturday,51,True
2024-12-22,2024,12,December,Dec,Q4,22,6,Sunday,51,True
2024-12-23,2024,12,December,Dec,Q4,23,0,Monday,52,False
2024-12-24,2024,12,December,Dec,Q4,24,1,Tuesday,52,False
2024-12-25,2024,12,December,Dec,Q4,25,2,Wednesday,52,False
2024-12-26,2024,12,December,Dec,Q4,26,3,Thursday,52,False
2024-12-27,2024,12,December,Dec,Q4,27,4,Friday,52,False
2024-12-28,2024,12,December,Dec,Q4,28,5,Saturday,52,True
2024-12-29,2024,12,December,Dec,Q4,29,6,Sunday,52,True
2024-12-30,2024,12,December,Dec,Q4,30,0,Monday,1,False
2024-12-31,2024,12,December,Dec,Q4,31,1,Tuesday,1,False
